Date,Transaction_Value,City
01/2011,179.672,Beirut
02/2011,502.338,Beirut
03/2011,220.017,Beirut
04/2011,244.857,Beirut
05/2011,400.56,Beirut
06/2011,340.065,Beirut
07/2011,312.436,Beirut
08/2011,280.342,Beirut
09/2011,373.544,Beirut
10/2011,304.316,Beirut
11/2011,23.992,Beirut
12/2011,599.198,Beirut
01/2012,208.727,Beirut
02/2012,284.376,Beirut
03/2012,371.756,Beirut
04/2012,239.474,Beirut
05/2012,394.861,Beirut
06/2012,447.222,Beirut
07/2012,247.481,Beirut
08/2012,286.88,Beirut
09/2012,415.255,Beirut
10/2012,444.624,Beirut
11/2012,307.115,Beirut
12/2012,492.86,Beirut
01/2013,176.052,Beirut
02/2013,174.326,Beirut
03/2013,176.2,Beirut
04/2013,296.167,Beirut
05/2013,297.959,Beirut
06/2013,324.049,Beirut
07/2013,318.328,Beirut
08/2013,245.108,Beirut
09/2013,319.075,Beirut
10/2013,492.046,Beirut
11/2013,300.705,Beirut
12/2013,582.023,Beirut
01/2014,433.823,Beirut
02/2014,226.236,Beirut
03/2014,260.777,Beirut
04/2014,340.665,Beirut
05/2014,515.116,Beirut
06/2014,238.155,Beirut
07/2014,237.252,Beirut
08/2014,243.356,Beirut
09/2014,341.588,Beirut
10/2014,284.168,Beirut
11/2014,210.212,Beirut
12/2014,348.164,Beirut
01/2015,266.641,Beirut
02/2015,164.716,Beirut
03/2015,211.102,Beirut
04/2015,233.454,Beirut
05/2015,218.756,Beirut
06/2015,235.809,Beirut
07/2015,394.021,Beirut
08/2015,20.98,Beirut
09/2015,232.992,Beirut
10/2015,222.747,Beirut
11/2015,244.619,Beirut
12/2015,371.27,Beirut
01/2016,141.757,Beirut
02/2016,500.932,Beirut
03/2016,217.064,Beirut
04/2016,297.91,Beirut
05/2016,201.682,Beirut
06/2016,270.022,Beirut
07/2016,201.686,Beirut
08/2016,282.233,Beirut
09/2016,286.562,Beirut
10/2016,168.748,Beirut
11/2016,269.303,Beirut
12/2016,515.327,Beirut
